As on Sat| Nov 04 2017| 14:15 GMT
base_currency_complete_name,base_currency,other_currency,other_per_base
U.A.E Dirham (AED),AED,XOF,153.8594
U.A.E Dirham (AED),AED,XAF,153.8594
U.A.E Dirham (AED),AED,CLP,172.8402
U.A.E Dirham (AED),AED,CNY,1.8072
U.A.E Dirham (AED),AED,COP,826.7605
U.A.E Dirham (AED),AED,XPF,27.9901
U.A.E Dirham (AED),AED,CRC,155.4658
U.A.E Dirham (AED),AED,HRK,1.7669
U.A.E Dirham (AED),AED,CZK,6.0203
U.A.E Dirham (AED),AED,DKK,1.747
U.A.E Dirham (AED),AED,DOP,12.8581
U.A.E Dirham (AED),AED,XCD,0.7348
U.A.E Dirham (AED),AED,EGP,4.8079
U.A.E Dirham (AED),AED,EEK,0.2724
U.A.E Dirham (AED),AED,FJD,0.5703
U.A.E Dirham (AED),AED,HKD,2.1248
U.A.E Dirham (AED),AED,HUF,73.2487
U.A.E Dirham (AED),AED,ISK,28.97
U.A.E Dirham (AED),AED,XDR,0.1941
U.A.E Dirham (AED),AED,INR,17.5856
U.A.E Dirham (AED),AED,IDR,3676.9973
U.A.E Dirham (AED),AED,IRR,9524.3782
U.A.E Dirham (AED),AED,IQD,317.7526
U.A.E Dirham (AED),AED,ILS,0.9573
U.A.E Dirham (AED),AED,JMD,34.4281
U.A.E Dirham (AED),AED,JOD,0.1932
U.A.E Dirham (AED),AED,KES,28.2747
U.A.E Dirham (AED),AED,KWD,0.0825
U.A.E Dirham (AED),AED,LBP,410.8578
U.A.E Dirham (AED),AED,MYR,1.1538
U.A.E Dirham (AED),AED,MUR,9.4456
U.A.E Dirham (AED),AED,MXN,5.2501
U.A.E Dirham (AED),AED,MAD,2.5938
U.A.E Dirham (AED),AED,NZD,0.3944
U.A.E Dirham (AED),AED,NOK,2.2268
U.A.E Dirham (AED),AED,OMR,0.1048
U.A.E Dirham (AED),AED,PEN,0.8902
U.A.E Dirham (AED),AED,PHP,13.9727
U.A.E Dirham (AED),AED,PLN,0.9964
U.A.E Dirham (AED),AED,QAR,0.9918
U.A.E Dirham (AED),AED,RON,1.0752
U.A.E Dirham (AED),AED,RUB,16.1061
U.A.E Dirham (AED),AED,SAR,1.0249
U.A.E Dirham (AED),AED,SGD,0.3718
U.A.E Dirham (AED),AED,SKK,0.2724
U.A.E Dirham (AED),AED,ZAR,3.8808
U.A.E Dirham (AED),AED,KRW,303.7771
U.A.E Dirham (AED),AED,LKR,41.8413
U.A.E Dirham (AED),AED,SDG,1.8177
U.A.E Dirham (AED),AED,SEK,2.3016
U.A.E Dirham (AED),AED,CHF,0.2726
U.A.E Dirham (AED),AED,TWD,8.2256
U.A.E Dirham (AED),AED,THB,9.0554
U.A.E Dirham (AED),AED,TTD,1.8275
U.A.E Dirham (AED),AED,TND,0.681
U.A.E Dirham (AED),AED,TRY,1.0596
U.A.E Dirham (AED),AED,VEF,3.0029
U.A.E Dirham (AED),AED,VND,6180.4354
U.A.E Dirham (AED),AED,ZMK,0.2724
UK Pound Sterling (GBP),GBP,AUD,1.7083                        
UK Pound Sterling (GBP),GBP,CAD,1.6683                        
UK Pound Sterling (GBP),GBP,EUR,1.126                        
UK Pound Sterling (GBP),GBP,JPY,149.1347                        
UK Pound Sterling (GBP),GBP,PKR,137.8057                        
UK Pound Sterling (GBP),GBP,AED,4.8006                        
UK Pound Sterling (GBP),GBP,GBP,1                        
UK Pound Sterling (GBP),GBP,USD,1.3077                        
UK Pound Sterling (GBP),GBP,AFN,89.4022
UK Pound Sterling (GBP),GBP,ALL,150.2681
UK Pound Sterling (GBP),GBP,DZD,151.7644
UK Pound Sterling (GBP),GBP,ARS,23.0492
UK Pound Sterling (GBP),GBP,BSD,1.3077
UK Pound Sterling (GBP),GBP,BHD,0.4927
UK Pound Sterling (GBP),GBP,BDT,108.4562
UK Pound Sterling (GBP),GBP,BBD,2.6154
UK Pound Sterling (GBP),GBP,BMD,1.3077
UK Pound Sterling (GBP),GBP,BRL,4.3331
UK Pound Sterling (GBP),GBP,BGN,2.1943
UK Pound Sterling (GBP),GBP,XOF,738.6168
UK Pound Sterling (GBP),GBP,XAF,738.6168
UK Pound Sterling (GBP),GBP,CLP,829.7362
UK Pound Sterling (GBP),GBP,CNY,8.6754
UK Pound Sterling (GBP),GBP,COP,3968.9432
UK Pound Sterling (GBP),GBP,XPF,134.3692
UK Pound Sterling (GBP),GBP,CRC,746.3287
UK Pound Sterling (GBP),GBP,HRK,8.4821
UK Pound Sterling (GBP),GBP,CZK,28.901
UK Pound Sterling (GBP),GBP,DKK,8.3865
UK Pound Sterling (GBP),GBP,DOP,61.7264
UK Pound Sterling (GBP),GBP,XCD,3.5273
UK Pound Sterling (GBP),GBP,EGP,23.0806
UK Pound Sterling (GBP),GBP,EEK,1.3077
UK Pound Sterling (GBP),GBP,FJD,2.7377
