As on Wed| Dec 06 2017| 22:45 GMT
base_currency_complete_name,base_currency,other_currency,other_per_base
UK Pound Sterling (GBP),GBP,COP,4026.9349
UK Pound Sterling (GBP),GBP,XPF,135.3095
UK Pound Sterling (GBP),GBP,CRC,757.2972
UK Pound Sterling (GBP),GBP,HRK,8.5558
UK Pound Sterling (GBP),GBP,CZK,29.0571
UK Pound Sterling (GBP),GBP,DKK,8.4376
UK Pound Sterling (GBP),GBP,DOP,64.3187
UK Pound Sterling (GBP),GBP,XCD,3.6135
UK Pound Sterling (GBP),GBP,EGP,23.8109
UK Pound Sterling (GBP),GBP,EEK,1.3383
UK Pound Sterling (GBP),GBP,FJD,2.7894
UK Pound Sterling (GBP),GBP,HKD,10.455
UK Pound Sterling (GBP),GBP,HUF,356.3803
UK Pound Sterling (GBP),GBP,ISK,139.9269
UK Pound Sterling (GBP),GBP,XDR,0.9468
UK Pound Sterling (GBP),GBP,INR,86.3599
UK Pound Sterling (GBP),GBP,IDR,18114.7504
UK Pound Sterling (GBP),GBP,IRR,47243.7868
UK Pound Sterling (GBP),GBP,IQD,1600.9202
UK Pound Sterling (GBP),GBP,ILS,4.7055
UK Pound Sterling (GBP),GBP,JMD,167.9489
UK Pound Sterling (GBP),GBP,JOD,0.9489
UK Pound Sterling (GBP),GBP,KES,137.7122
UK Pound Sterling (GBP),GBP,KWD,0.4039
UK Pound Sterling (GBP),GBP,LBP,2017.5156
UK Pound Sterling (GBP),GBP,MYR,5.4543
UK Pound Sterling (GBP),GBP,MUR,45.1469
UK Pound Sterling (GBP),GBP,MXN,25.2464
UK Pound Sterling (GBP),GBP,MAD,12.6481
UK Pound Sterling (GBP),GBP,NZD,1.9466
UK Pound Sterling (GBP),GBP,NOK,11.0644
UK Pound Sterling (GBP),GBP,OMR,0.5146
UK Pound Sterling (GBP),GBP,PEN,4.3301
UK Pound Sterling (GBP),GBP,PHP,67.8867
UK Pound Sterling (GBP),GBP,PLN,4.7773
UK Pound Sterling (GBP),GBP,QAR,4.8715
UK Pound Sterling (GBP),GBP,RON,5.2506
UK Pound Sterling (GBP),GBP,RUB,79.2217
UK Pound Sterling (GBP),GBP,SAR,5.0187
UK Pound Sterling (GBP),GBP,SGD,1.8055
UK Pound Sterling (GBP),GBP,SKK,1.3383
UK Pound Sterling (GBP),GBP,ZAR,18.0924
UK Pound Sterling (GBP),GBP,KRW,1463.6159
UK Pound Sterling (GBP),GBP,LKR,205.2847
UK Pound Sterling (GBP),GBP,SDG,8.9664
UK Pound Sterling (GBP),GBP,SEK,11.2768
UK Pound Sterling (GBP),GBP,CHF,1.3241
UK Pound Sterling (GBP),GBP,TWD,40.1593
UK Pound Sterling (GBP),GBP,THB,43.6851
UK Pound Sterling (GBP),GBP,TTD,9.0206
UK Pound Sterling (GBP),GBP,TND,3.3307
UK Pound Sterling (GBP),GBP,TRY,5.153
UK Pound Sterling (GBP),GBP,VEF,13.3665
